id	data_size	infer_time	accuracy	
20247	154.942	17.951	1.0	
20333	145.604	18.95	0.598	
20553	136.834	18.949	0.046	
20571	236.749	21.46	0.047	
20992	91.13	16.953	0.505	
21167	48.304	18.948	0.719	
21465	142.107	17.625	0.427	
21503	101.332	19.459	0.064	
21604	98.19	22.939	0.553	
21839	213.882	18.949	0.296	
21879	216.396	16.957	0.542	
21903	221.786	16.956	0.9	
22192	83.764	15.958	0.511	
22371	41.827	18.949	0.926	
22396	123.183	18.951	1.0	
22479	95.28	24.447	0.43	
22589	239.104	16.955	0.651	
22623	91.112	14.96	0.9	
22705	100.036	22.944	0.568	
22755	153.552	17.951	0.206	
22892	114.994	17.951	0.406	
22935	140.259	16.954	1.0	
22969	163.599	15.959	1.0	
23023	122.593	22.938	0.505	
23034	245.07	17.953	0.594	
23126	87.83	14.961	0.597	
23230	365.92	16.956	0.278	
23272	147.927	16.955	0.751	
23359	35.854	16.954	0.502	
23666	126.814	18.949	0.9	
23751	138.864	16.957	0.0	
23781	150.091	17.953	0.519	
23899	100.792	15.958	0.071	
23937	195.505	19.947	0.282	
24021	139.652	18.952	0.099	
24027	78.745	28.921	0.734	
24144	332.734	21.942	1.0	
24243	259.865	15.958	0.209	
24567	237.77	17.951	0.62	
24610	96.014	15.957	0.207	
24919	173.128	17.952	0.576	
25057	177.539	16.469	0.503	
25096	121.029	17.952	0.443	
25139	128.775	18.95	0.202	
25181	140.998	16.497	0.143	
25228	160.637	17.027	0.725	
25386	189.605	16.955	0.142	
25393	138.716	17.952	0.402	
25394	115.549	18.949	0.336	
25424	103.904	18.952	0.8	
25560	84.306	15.957	0.869	
25593	315.179	16.954	-1.0	
25603	211.742	18.952	0.323	
25986	179.812	17.951	0.182	
26204	211.038	18.949	0.538	
26465	76.753	17.952	0.527	
26564	94.543	18.459	0.217	
26690	170.22	16.955	0.342	
26926	123.15	16.955	0.765	
26941	203.531	18.951	0.648	
27186	66.932	17.062	0.307	
27620	109.756	20.943	0.7	
27696	169.335	15.957	0.486	
27768	186.776	21.944	0.337	
27932	74.197	19.947	0.0	
27972	195.774	16.954	0.9	
27982	116.752	17.951	0.9	
28285	213.551	15.959	0.9	
28449	152.386	15.464	0.685	
28452	189.1	20.944	0.801	
28809	138.837	18.95	0.204	
28993	260.305	18.951	0.092	
29187	265.161	16.954	0.802	
29393	163.919	16.954	0.406	
29397	197.676	18.95	0.505	
29596	173.774	19.005	0.295	
29640	197.03	18.95	0.186	
29675	193.934	18.95	0.629	
29984	179.636	19.946	0.636	
30213	258.413	18.95	0.257	
30494	205.901	15.958	0.454	
30504	221.441	16.954	0.698	
30675	208.524	16.468	1.0	
30785	209.344	17.953	0.265	
30828	177.125	14.961	0.256	
31050	208.15	15.958	0.35	
31093	143.998	17.465	0.219	
31118	208.349	14.96	0.264	
31217	182.999	15.957	0.564	
31248	102.298	19.948	0.13	
31269	180.17	15.959	0.934	
31296	218.285	20.944	0.233	
31322	261.785	15.958	0.188	
31620	140.202	17.954	0.244	
31735	175.536	18.949	0.498	
31749	296.761	20.944	0.8	
31817	187.739	21.942	0.261	
32038	88.206	17.466	0.505	
32081	142.8	26.929	0.9	
32285	91.019	17.952	1.0	
32334	176.238	17.954	0.484	
32570	200.991	16.955	0.454	
32610	145.847	19.946	0.554	
32735	108.622	17.953	0.508	
32811	90.878	16.957	0.9	
32817	127.162	15.957	0.76	
32861	175.775	16.954	0.802	
32887	186.213	16.956	0.232	
32901	208.764	22.456	0.343	
32941	205.009	16.955	0.272	
33005	155.204	16.954	0.801	
33104	177.355	18.952	0.188	
33109	208.58	17.466	0.409	
33114	139.596	17.951	0.129	
33221	96.407	18.949	0.368	
33368	68.971	16.957	0.368	
33638	150.171	15.473	0.116	
33707	213.572	21.941	0.802	
33759	369.718	22.938	0.347	
33854	191.382	18.465	0.374	
34071	48.056	16.955	0.9	
34139	143.284	18.95	0.47	
34205	115.105	17.952	0.0	
34257	155.679	20.458	0.151	
34417	128.857	18.949	0.441	
34452	212.416	18.951	0.498	
34760	147.889	16.957	0.789	
34873	92.082	18.466	0.252	
35062	124.756	18.949	0.0	
35197	132.787	15.958	0.594	
35279	231.938	16.957	0.485	
35326	122.29	17.952	0.151	
35682	176.335	18.95	0.426	
35770	97.133	17.952	0.0	
35963	305.078	17.47	0.202	
36494	134.416	17.951	0.193	
36539	139.604	16.955	0.718	
36660	131.33	17.951	0.485	
36678	173.516	19.46	0.185	
36844	104.43	16.954	0.29	
36861	119.929	19.948	0.9	
36936	127.25	15.961	0.192	
37670	115.033	18.463	0.118	
37689	160.585	18.95	0.277	
37740	107.603	16.955	0.264	
37751	220.692	15.96	0.359	
37777	39.876	16.954	0.434	
37988	66.374	19.946	0.822	
38048	47.661	26.929	0.356	
38070	76.983	18.466	0.8	
38118	108.604	16.955	0.353	
38210	139.084	16.954	0.631	
38576	107.385	15.957	0.835	
38678	180.661	17.955	0.678	
38825	239.93	16.954	0.751	
38829	208.864	15.958	0.477	
39405	116.066	15.957	0.214	
39477	230.748	15.471	0.145	
39480	75.125	14.959	0.925	
39484	118.442	23.937	0.22	
39551	150.381	16.955	0.845	
39670	413.558	18.464	0.8	
39769	169.073	15.957	0.815	
39785	132.887	18.949	0.168	
39914	155.893	18.953	0.282	
39951	86.374	16.957	0.446	
39956	105.022	18.949	0.662	
40036	236.932	18.95	0.598	
40083	101.711	15.958	0.494	
40471	189.678	19.947	0.097	
40757	132.583	15.957	0.554	
41488	75.77	14.96	-1.0	
41633	153.619	15.958	0.778	
41635	176.197	17.465	0.634	
41872	93.418	18.951	0.576	
41888	276.283	15.958	0.7	
41990	125.609	15.959	0.703	
42070	202.712	18.463	0.303	
42102	93.927	22.939	0.545	
42178	262.153	16.933	0.0	
