id	data_size	infer_time	accuracy	
20247	154.942	0.23	0.9	
20333	145.604	0.27	0.733	
20553	136.834	0.29	0.418	
20571	236.749	0.43	0.182	
20992	91.13	0.27	0.55	
21167	48.304	0.31	0.534	
21465	142.107	0.37	0.6	
21503	101.332	0.31	0.511	
21604	98.19	0.23	0.8	
21839	213.882	0.36	0.492	
21879	216.396	0.3	0.543	
21903	221.786	0.27	0.709	
22192	83.764	0.3	0.733	
22371	41.827	0.27	0.875	
22396	123.183	0.23	0.8	
22479	95.28	0.31	0.5	
22589	239.104	0.31	0.419	
22623	91.112	0.26	0.0	
22705	100.036	0.33	0.57	
22755	153.552	0.33	0.511	
22892	114.994	0.36	0.48	
22935	140.259	0.24	0.95	
22969	163.599	0.22	0.75	
23023	122.593	0.2	0.95	
23034	245.07	0.26	0.617	
23126	87.83	0.34	0.577	
23230	365.92	0.26	0.358	
23272	147.927	0.29	0.7	
23359	35.854	0.31	0.55	
23666	126.814	0.24	0.8	
23751	138.864	0.27	0.65	
23781	150.091	0.45	0.791	
23899	100.792	0.39	0.476	
23937	195.505	0.29	0.073	
24021	139.652	0.48	0.262	
24027	78.745	0.31	0.525	
24144	332.734	0.26	1.0	
24243	259.865	0.42	0.412	
24567	237.77	0.4	0.594	
24610	96.014	0.49	0.573	
24919	173.128	0.27	0.7	
25057	177.539	0.25	0.8	
25096	121.029	0.3	0.25	
25139	128.775	0.24	0.9	
25181	140.998	0.29	0.25	
25228	160.637	0.25	0.8	
25386	189.605	0.38	0.232	
25393	138.716	0.34	0.486	
25394	115.549	0.49	0.608	
25424	103.904	0.27	0.8	
25560	84.306	0.3	0.9	
25593	315.179	0.25	-1.0	
25603	211.742	0.49	0.454	
25986	179.812	0.43	0.564	
26204	211.038	0.43	0.551	
26465	76.753	0.29	0.617	
26564	94.543	0.41	0.643	
26690	170.22	0.37	0.331	
26926	123.15	0.26	0.875	
26941	203.531	0.33	0.554	
27186	66.932	0.28	0.661	
27620	109.756	0.32	0.771	
27696	169.335	0.32	0.325	
27768	186.776	0.27	0.558	
27932	74.197	0.21	0.0	
27972	195.774	0.24	0.75	
27982	116.752	0.29	0.9	
28285	213.551	0.24	0.6	
28449	152.386	0.28	0.543	
28452	189.1	0.26	0.812	
28809	138.837	0.23	0.04	
28993	260.305	0.33	0.204	
29187	265.161	0.27	0.75	
29393	163.919	0.24	0.535	
29397	197.676	0.27	0.75	
29596	173.774	0.38	0.579	
29640	197.03	0.48	0.215	
29675	193.934	0.27	0.733	
29984	179.636	0.28	0.679	
30213	258.413	0.48	0.5	
30494	205.901	0.24	0.5	
30504	221.441	0.3	0.633	
30675	208.524	0.3	0.9	
30785	209.344	0.34	0.498	
30828	177.125	0.3	0.27	
31050	208.15	0.3	0.1	
31093	143.998	0.29	0.455	
31118	208.349	0.42	0.508	
31217	182.999	0.26	0.633	
31248	102.298	0.43	0.284	
31269	180.17	0.24	0.817	
31296	218.285	0.52	0.239	
31322	261.785	0.49	0.28	
31620	140.202	0.37	0.194	
31735	175.536	0.41	0.509	
31749	296.761	0.23	0.5	
31817	187.739	0.34	0.322	
32038	88.206	0.29	0.538	
32081	142.8	0.27	0.75	
32285	91.019	0.27	0.9	
32334	176.238	0.4	0.407	
32570	200.991	0.32	0.7	
32610	145.847	0.34	0.69	
32735	108.622	0.32	0.398	
32811	90.878	0.25	0.7	
32817	127.162	0.35	0.626	
32861	175.775	0.27	0.7	
32887	186.213	0.28	0.242	
32901	208.764	0.4	0.531	
32941	205.009	0.36	0.493	
33005	155.204	0.27	0.8	
33104	177.355	0.31	0.158	
33109	208.58	0.34	0.717	
33114	139.596	0.29	0.204	
33221	96.407	0.4	0.375	
33368	68.971	0.27	0.5	
33638	150.171	0.42	0.22	
33707	213.572	0.22	0.126	
33759	369.718	0.26	0.5	
33854	191.382	0.49	0.568	
34071	48.056	0.31	0.75	
34139	143.284	0.28	0.683	
34205	115.105	0.32	0.14	
34257	155.679	0.46	0.11	
34417	128.857	0.45	0.331	
34452	212.416	0.24	0.7	
34760	147.889	0.32	0.85	
34873	92.082	0.38	0.461	
35062	124.756	0.29	0.467	
35197	132.787	0.29	0.35	
35279	231.938	0.32	0.781	
35326	122.29	0.31	0.233	
35682	176.335	0.43	0.523	
35770	97.133	0.31	0.272	
35963	305.078	0.27	0.15	
36494	134.416	0.5	0.17	
36539	139.604	0.35	0.45	
36660	131.33	0.27	0.568	
36678	173.516	0.38	0.444	
36844	104.43	0.5	0.43	
36861	119.929	0.26	0.85	
36936	127.25	0.47	0.509	
37670	115.033	0.28	0.567	
37689	160.585	0.43	0.321	
37740	107.603	0.44	0.599	
37751	220.692	0.26	0.556	
37777	39.876	0.36	0.539	
37988	66.374	0.28	0.711	
38048	47.661	0.32	0.508	
38070	76.983	0.24	1.0	
38118	108.604	0.26	0.65	
38210	139.084	0.31	0.45	
38576	107.385	0.33	0.695	
38678	180.661	0.31	0.829	
38825	239.93	0.26	0.701	
38829	208.864	0.4	0.444	
39405	116.066	0.5	0.237	
39477	230.748	0.45	0.35	
39480	75.125	0.26	0.9	
39484	118.442	0.45	0.222	
39551	150.381	0.25	0.8	
39670	413.558	0.19	0.9	
39769	169.073	0.27	0.675	
39785	132.887	0.25	0.325	
39914	155.893	0.35	0.45	
39951	86.374	0.27	0.817	
39956	105.022	0.35	0.65	
40036	236.932	0.29	0.433	
40083	101.711	0.37	0.521	
40471	189.678	0.4	0.347	
40757	132.583	0.3	0.367	
41488	75.77	0.29	-1.0	
41633	153.619	0.3	0.676	
41635	176.197	0.33	0.482	
41872	93.418	0.3	0.519	
41888	276.283	0.24	0.682	
41990	125.609	0.3	0.392	
42070	202.712	0.24	0.333	
42102	93.927	0.22	0.567	
42178	262.153	0.24	0.0	
42276	128.82	0.33	0.55	
42296	201.113	0.27	0.678	
42528	101.491	0.29	0.333	
42563	198.512	0.21	0.3	
42628	165.578	0.31	0.721	
42888	179.771	0.22	-1.0	
42889	103.945	0.26	0.8	
43314	136.84	0.27	0.045	
43435	242.413	0.29	0.221	
43581	91.543	0.33	0.45	
43737	113.714	0.39	0.521	
43816	132.455	0.27	0.688	
44068	94.79	0.26	0.8	
44195	116.08	0.26	0.701	
44260	247.624	0.27	0.625	
44279	162.216	0.45	0.355	
44590	136.173	0.41	0.331	
44652	60.016	0.25	0.8	
44699	221.551	0.31	0.575	
44877	114.87	0.35	0.279	
45070	277.896	0.23	0.45	
45090	81.876	0.29	0.427	
45229	150.457	0.48	0.139	
45472	237.35	0.33	0.535	
45550	101.08	0.34	0.762	
45596	122.812	0.35	0.356	
45728	140.087	0.26	0.0	
46031	195.541	0.29	0.815	
46048	109.602	0.32	0.507	
46252	307.527	0.25	0.52	
46378	130.475	0.28	0.5	
46463	107.898	0.27	0.425	
46497	104.121	0.31	0.267	
46804	295.442	0.23	0.9	
46872	213.142	0.32	0.455	
47010	203.415	0.28	0.3	
47112	184.469	0.47	0.522	
47121	72.141	0.29	0.825	
47571	282.652	0.24	0.609	
47585	166.964	0.31	0.432	
47740	199.585	0.32	0.159	
47769	90.714	0.31	0.637	
47801	154.909	0.27	0.393	
47819	213.408	0.35	0.633	
47828	137.234	0.35	0.543	
48153	224.738	0.25	0.5	
48396	145.057	0.34	0.717	
48504	190.192	0.41	0.481	
48555	97.477	0.31	0.155	
48564	91.016	0.28	0.85	
48924	229.416	0.27	0.5	
49060	160.644	0.35	0.466	
49091	152.101	0.37	-1.0	
49259	262.38	0.27	0.7	
49269	114.894	0.26	0.85	
49759	163.897	0.35	0.741	
49761	138.767	0.35	0.425	
49810	183.307	0.27	0.776	
50006	149.32	0.38	0.106	
50145	50.808	0.32	0.283	
50149	178.939	0.45	0.235	
50165	191.142	0.24	0.7	
50326	36.556	0.26	0.467	
50331	160.688	0.26	0.548	
50380	159.121	0.32	0.592	
50638	237.951	0.31	0.7	
50679	83.379	0.33	0.754	
50811	159.192	0.29	0.633	
50828	117.156	0.32	0.6	
50844	186.881	0.31	0.701	
50896	305.22	0.29	0.605	
50943	110.09	0.24	0.55	
51008	120.244	0.27	0.725	
51309	223.239	0.31	0.477	
51314	107.043	0.26	0.65	
51326	207.355	0.37	0.125	
51598	82.362	0.32	0.52	
51610	61.946	0.27	0.683	
51712	201.825	0.28	0.65	
51738	72.021	0.25	0.833	
51938	150.581	0.31	0.228	
51961	170.066	0.33	0.9	
51976	177.801	0.27	0.65	
52007	242.97	0.31	0.445	
52017	87.004	0.29	0.4	
52412	223.057	0.47	0.277	
52413	101.691	0.37	0.497	
52462	176.662	0.25	0.8	
52507	224.924	0.25	0.75	
52565	88.755	0.23	0.9	
52591	112.988	0.3	0.4	
52891	149.782	0.28	0.579	
52996	122.368	0.44	0.461	
53505	102.822	0.32	0.716	
53529	105.228	0.34	0.467	
53624	206.684	0.35	0.601	
53626	166.861	0.37	0.434	
53909	145.521	0.35	0.3	
53994	187.024	0.32	0.542	
54123	274.965	0.29	0.603	
54164	100.93	0.25	0.7	
54592	62.726	0.32	0.45	
54593	283.703	0.39	0.391	
54605	149.695	0.51	0.434	
54628	151.651	0.45	0.392	
54654	190.65	0.49	0.75	
54931	179.202	0.26	0.85	
54967	111.692	0.42	0.427	
55002	119.745	0.29	0.55	
55022	187.728	0.39	0.094	
55072	190.149	0.26	0.8	
55150	177.951	0.52	0.271	
55167	205.364	0.39	0.627	
55299	97.646	0.28	0.65	
55528	89.516	0.33	0.35	
55950	165.031	0.29	0.8	
56127	256.563	0.32	0.041	
56288	129.055	0.33	0.733	
56344	82.604	0.27	0.657	
56350	136.451	0.36	0.458	
56545	160.294	0.22	0.9	
57027	263.679	0.27	0.732	
57149	151.208	0.32	0.364	
57150	53.224	0.41	0.33	
57232	224.561	0.32	0.145	
57238	74.03	0.26	0.567	
57244	229.116	0.29	0.2	
57597	193.115	0.51	0.293	
57672	143.812	0.46	0.56	
57725	228.032	0.3	0.8	
57760	83.689	0.32	0.187	
58029	122.511	0.26	0.7	
58111	123.063	0.24	0.46	
58350	102.744	0.33	0.582	
58384	167.807	0.27	0.467	
58393	68.852	0.26	0.567	
58539	139.028	0.36	0.639	
58636	204.313	0.18	-1.0	
58655	185.732	0.27	0.8	
58705	250.582	0.29	0.833	
59044	86.145	0.47	0.404	
59386	155.772	0.33	0.519	
59598	95.319	0.38	0.519	
59635	169.67	0.45	0.338	
59920	81.018	0.29	0.525	
60052	114.917	0.28	0.45	
60090	210.724	0.32	0.523	
60102	141.469	0.31	0.85	
60347	365.385	0.26	0.45	
60363	134.344	0.25	0.601	
60449	108.512	0.31	0.434	
60507	114.698	0.47	0.323	
60770	171.884	0.27	0.8	
60823	263.601	0.51	0.346	
60835	258.083	0.29	0.5	
60855	122.578	0.27	0.925	
