id	data_size	infer_time	accuracy	
20247	154.942	95.91	0.9	
20333	145.604	63.803	0.867	
20553	136.834	95.231	0.265	
20571	236.749	82.779	0.177	
20992	91.13	90.939	0.604	
21167	48.304	61.811	0.678	
21465	142.107	79.787	0.751	
21503	101.332	94.722	0.492	
21604	98.19	66.796	0.95	
21839	213.882	65.314	0.422	
21879	216.396	90.757	0.808	
21903	221.786	95.743	0.648	
22192	83.764	91.731	0.402	
22371	41.827	90.758	1.0	
22396	123.183	95.222	1.0	
22479	95.28	89.734	0.455	
22589	239.104	94.92	0.698	
22623	91.112	93.281	0.9	
22705	100.036	67.818	0.791	
22755	153.552	96.913	0.454	
22892	114.994	90.757	0.584	
22935	140.259	95.311	1.0	
22969	163.599	96.716	1.0	
23023	122.593	99.877	0.95	
23034	245.07	90.732	0.861	
23126	87.83	89.76	0.614	
23230	365.92	95.719	0.751	
23272	147.927	94.723	0.901	
23359	35.854	89.759	0.85	
23666	126.814	66.889	0.9	
23751	138.864	63.829	0.0	
23781	150.091	91.729	0.775	
23899	100.792	91.868	0.424	
23937	195.505	91.757	0.624	
24021	139.652	79.787	0.0	
24027	78.745	97.739	0.801	
24144	332.734	93.943	1.0	
24243	259.865	93.725	0.427	
24567	237.77	65.798	0.781	
24610	96.014	94.746	0.39	
24919	173.128	90.27	0.626	
25057	177.539	89.74	0.591	
25096	121.029	66.821	0.502	
25139	128.775	92.885	0.485	
25181	140.998	89.734	0.377	
25228	160.637	88.763	0.625	
25386	189.605	61.81	0.214	
25393	138.716	95.744	0.498	
25394	115.549	66.797	0.528	
25424	103.904	61.811	0.734	
25560	84.306	94.672	0.913	
25593	315.179	92.725	-1.0	
25603	211.742	95.717	0.485	
25986	179.812	94.886	0.187	
26204	211.038	91.184	0.685	
26465	76.753	96.741	0.639	
26564	94.543	90.757	0.489	
26690	170.22	62.832	0.502	
26926	123.15	60.946	0.899	
26941	203.531	90.756	0.706	
27186	66.932	90.503	0.339	
27620	109.756	95.705	0.7	
27696	169.335	79.763	0.505	
27768	186.776	99.71	0.547	
27932	74.197	88.911	0.0	
27972	195.774	91.731	0.851	
27982	116.752	90.757	0.9	
28285	213.551	90.757	0.9	
28449	152.386	90.732	0.81	
28452	189.1	66.365	0.9	
28809	138.837	97.737	0.265	
28993	260.305	97.714	0.195	
29187	265.161	95.745	0.604	
29393	163.919	95.72	0.431	
29397	197.676	94.723	0.9	
29596	173.774	91.755	0.414	
29640	197.03	88.761	0.189	
29675	193.934	65.797	0.752	
29984	179.636	96.716	0.861	
30213	258.413	96.472	0.255	
30494	205.901	93.749	0.751	
30504	221.441	65.798	0.733	
30675	208.524	78.006	1.0	
30785	209.344	95.444	0.245	
30828	177.125	91.731	0.525	
31050	208.15	62.832	0.3	
31093	143.998	90.986	0.448	
31118	208.349	89.735	0.488	
31217	182.999	90.757	0.755	
31248	102.298	90.397	0.209	
31269	180.17	94.724	0.966	
31296	218.285	91.731	0.382	
31322	261.785	90.167	0.539	
31620	140.202	65.824	0.381	
31735	175.536	94.897	0.677	
31749	296.761	96.74	1.0	
31817	187.739	52.835	0.443	
32038	88.206	62.832	0.505	
32081	142.8	67.235	0.95	
32285	91.019	91.754	1.0	
32334	176.238	94.869	0.669	
32570	200.991	90.758	0.901	
32610	145.847	89.736	0.792	
32735	108.622	89.735	0.817	
32811	90.878	67.837	0.9	
32817	127.162	65.8	0.955	
32861	175.775	61.811	0.925	
32887	186.213	96.837	0.529	
32901	208.764	87.741	0.56	
32941	205.009	65.824	0.505	
33005	155.204	90.887	0.9	
33104	177.355	87.737	0.402	
33109	208.58	95.721	0.618	
33114	139.596	93.719	0.129	
33221	96.407	91.754	0.583	
33368	68.971	62.243	0.499	
33638	150.171	60.837	0.129	
33707	213.572	97.739	0.802	
33759	369.718	96.921	0.551	
33854	191.382	89.733	0.575	
34071	48.056	90.734	0.9	
34139	143.284	95.745	0.629	
34205	115.105	90.733	0.067	
34257	155.679	81.782	0.224	
34417	128.857	95.72	0.629	
