id	data_size	infer_time	accuracy	
20247	154.942	59.842	0.9	
20333	145.604	49.842	0.834	
20553	136.834	60.812	0.219	
20571	236.749	59.866	0.19	
20992	91.13	51.883	0.552	
21167	48.304	48.869	0.703	
21465	142.107	46.875	0.751	
21503	101.332	58.842	0.431	
21604	98.19	54.853	0.95	
21839	213.882	55.4	0.384	
21879	216.396	50.864	0.73	
21903	221.786	60.216	0.9	
22192	83.764	50.864	0.337	
22371	41.827	49.868	1.0	
22396	123.183	73.804	1.0	
22479	95.28	60.064	0.43	
22589	239.104	58.843	0.504	
22623	91.112	59.84	0.9	
22705	100.036	53.882	0.764	
22755	153.552	57.846	0.417	
22892	114.994	50.891	0.584	
22935	140.259	58.842	1.0	
22969	163.599	57.845	1.0	
23023	122.593	64.827	0.95	
23034	245.07	51.862	0.913	
23126	87.83	50.863	0.597	
23230	365.92	59.84	0.727	
23272	147.927	57.869	0.818	
23359	35.854	50.889	0.9	
23666	126.814	54.855	0.9	
23751	138.864	48.845	0.193	
23781	150.091	51.831	0.785	
23899	100.792	49.866	0.206	
23937	195.505	50.864	0.478	
24021	139.652	50.865	0.255	
24027	78.745	58.867	0.767	
24144	332.734	58.867	1.0	
24243	259.865	57.846	0.358	
24567	237.77	53.855	0.779	
24610	96.014	57.869	0.332	
24919	173.128	50.864	0.701	
25057	177.539	51.837	0.777	
25096	121.029	55.852	0.515	
25139	128.775	50.864	0.95	
25181	140.998	49.866	0.278	
25228	160.637	50.865	0.6	
25386	189.605	48.87	0.222	
25393	138.716	58.892	0.456	
25394	115.549	54.853	0.582	
25424	103.904	48.868	0.766	
25560	84.306	57.845	0.884	
25593	315.179	58.843	-1.0	
25603	211.742	58.003	0.453	
25986	179.812	57.872	0.27	
26204	211.038	50.869	0.574	
26465	76.753	60.837	0.483	
26564	94.543	50.864	0.419	
26690	170.22	48.869	0.465	
26926	123.15	47.872	0.866	
26941	203.531	51.861	0.659	
27186	66.932	49.867	0.76	
27620	109.756	58.87	0.572	
27696	169.335	48.846	0.48	
27768	186.776	64.86	0.511	
27932	74.197	60.837	0.0	
27972	195.774	52.859	0.801	
27982	116.752	50.864	0.925	
28285	213.551	50.863	0.9	
28449	152.386	49.867	0.644	
28452	189.1	53.856	0.9	
28809	138.837	64.065	0.272	
28993	260.305	63.83	0.252	
29187	265.161	73.803	0.604	
29393	163.919	61.005	0.356	
29397	197.676	58.084	0.9	
29596	173.774	50.84	0.313	
29640	197.03	49.839	0.343	
29675	193.934	53.856	0.752	
29984	179.636	74.892	0.836	
30213	258.413	58.842	0.236	
30494	205.901	58.843	0.505	
30504	221.441	53.999	0.733	
30675	208.524	45.878	1.0	
30785	209.344	57.845	0.2	
30828	177.125	50.889	0.376	
31050	208.15	48.867	0.2	
31093	143.998	50.888	0.311	
31118	208.349	50.864	0.504	
31217	182.999	50.864	0.735	
31248	102.298	51.501	0.323	
31269	180.17	60.838	0.917	
31296	218.285	51.861	0.373	
31322	261.785	50.866	0.529	
31620	140.202	54.853	0.272	
31735	175.536	58.867	0.538	
31749	296.761	64.827	1.0	
31817	187.739	46.874	0.396	
32038	88.206	48.87	0.629	
32081	142.8	55.852	1.0	
32285	91.019	51.887	1.0	
32334	176.238	58.837	0.541	
32570	200.991	51.886	0.851	
32610	145.847	50.888	0.644	
32735	108.622	50.84	0.419	
32811	90.878	55.875	1.0	
32817	127.162	53.492	0.706	
32861	175.775	49.868	0.901	
32887	186.213	57.844	0.652	
32901	208.764	66.796	0.583	
32941	205.009	54.853	0.505	
33005	155.204	49.867	0.925	
33104	177.355	62.832	0.209	
33109	208.58	57.872	0.555	
33114	139.596	57.87	0.129	
33221	96.407	51.862	0.548	
33368	68.971	48.87	0.532	
33638	150.171	46.98	0.129	
33707	213.572	66.787	0.802	
33759	369.718	57.82	0.512	
33854	191.382	51.888	0.522	
34071	48.056	50.89	0.9	
34139	143.284	58.769	0.609	
34205	115.105	50.864	0.067	
34257	155.679	47.87	0.168	
34417	128.857	58.842	0.687	
34452	212.416	57.845	0.834	
34760	147.889	49.866	0.817	
34873	92.082	58.673	0.396	
35062	124.756	50.865	0.505	
35197	132.787	47.871	0.934	
35279	231.938	60.838	0.623	
35326	122.29	58.844	0.084	
35682	176.335	52.834	0.611	
35770	97.133	53.856	0.22	
35963	305.078	53.858	0.454	
36494	134.416	50.864	0.266	
36539	139.604	47.873	0.722	
36660	131.33	49.891	0.573	
36678	173.516	46.874	0.511	
36844	104.43	58.867	0.526	
36861	119.929	53.88	0.9	
36936	127.25	49.867	0.41	
37670	115.033	58.443	0.244	
37689	160.585	50.865	0.501	
37740	107.603	57.819	0.264	
37751	220.692	58.842	0.406	
37777	39.876	50.888	0.627	
37988	66.374	59.816	0.786	
38048	47.661	47.873	0.579	
38070	76.983	59.84	1.0	
38118	108.604	50.864	0.404	
38210	139.084	48.87	0.732	
38576	107.385	46.874	0.868	
38678	180.661	53.855	0.681	
38825	239.93	50.84	1.0	
38829	208.864	49.838	0.515	
39405	116.066	60.987	0.247	
39477	230.748	51.837	0.294	
39480	75.125	50.863	0.95	
39484	118.442	51.884	0.336	
39551	150.381	50.837	0.799	
39670	413.558	63.83	0.9	
39769	169.073	60.837	0.787	
39785	132.887	58.843	0.353	
39914	155.893	53.856	0.556	
39951	86.374	50.864	0.545	
39956	105.022	50.864	0.901	
40036	236.932	51.861	0.631	
40083	101.711	49.868	0.635	
40471	189.678	49.866	0.229	
40757	132.583	46.706	0.415	
41488	75.77	45.879	-1.0	
41633	153.619	51.862	0.799	
41635	176.197	58.843	0.826	
41872	93.418	49.981	0.602	
41888	276.283	59.865	0.766	
41990	125.609	58.842	0.752	
42070	202.712	73.778	0.5	
42102	93.927	46.874	0.599	
42178	262.153	57.788	0.0	
42276	128.82	53.857	0.751	
42296	201.113	50.864	0.81	
42528	101.491	74.799	0.617	
42563	198.512	63.018	1.0	
42628	165.578	49.863	0.791	
42888	179.771	59.84	-1.0	
42889	103.945	53.856	0.95	
43314	136.84	72.805	0.406	
43435	242.413	62.806	0.405	
43581	91.543	52.859	0.901	
43737	113.714	54.854	0.425	
43816	132.455	50.839	0.789	
44068	94.79	54.855	1.0	
44195	116.08	53.828	0.934	
44260	247.624	51.861	0.603	
44279	162.216	50.864	0.259	
44590	136.173	38.897	0.667	
44652	60.016	51.861	0.9	
44699	221.551	50.865	0.827	
44877	114.87	49.892	0.544	
45070	277.896	59.903	0.653	
45090	81.876	34.932	0.523	
45229	150.457	57.873	0.124	
45472	237.35	50.84	0.333	
45550	101.08	58.842	0.512	
45596	122.812	48.869	0.462	
45728	140.087	58.843	0.252	
46031	195.541	57.982	0.85	
46048	109.602	57.778	0.598	
46252	307.527	57.869	0.821	
46378	130.475	45.849	0.8	
46463	107.898	75.576	0.51	
46497	104.121	51.109	0.719	
46804	295.442	59.864	0.9	
46872	213.142	48.87	0.326	
47010	203.415	58.868	0.711	
47112	184.469	57.818	0.364	
47121	72.141	58.842	0.579	
47571	282.652	64.828	0.644	
47585	166.964	47.896	0.683	
47740	199.585	47.848	0.387	
47769	90.714	59.842	0.574	
47801	154.909	69.903	0.398	
47819	213.408	58.87	0.95	
47828	137.234	36.875	0.623	
48153	224.738	58.844	0.801	
48396	145.057	51.861	0.751	
48504	190.192	50.864	0.558	
48555	97.477	58.843	0.475	
48564	91.016	47.873	0.95	
48924	229.416	50.891	0.269	
49060	160.644	47.871	0.334	
49091	152.101	49.843	-1.0	
49259	262.38	48.868	1.0	
49269	114.894	47.054	0.851	
49759	163.897	59.815	0.758	
49761	138.767	58.843	0.22	
49810	183.307	51.861	0.681	
50006	149.32	58.842	0.128	
50145	50.808	51.89	0.501	
50149	178.939	74.809	0.375	
50165	191.142	50.839	0.8	
50326	36.556	59.815	0.303	
50331	160.688	57.846	0.026	
50380	159.121	50.864	0.702	
50638	237.951	48.87	0.85	
50679	83.379	51.862	0.588	
50811	159.192	61.924	0.693	
50828	117.156	58.843	0.521	
50844	186.881	48.896	0.9	
50896	305.22	63.828	0.813	
50943	110.09	33.884	0.454	
51008	120.244	58.819	1.0	
51309	223.239	47.898	0.909	
51314	107.043	58.841	0.751	
51326	207.355	51.861	0.9	
51598	82.362	46.874	0.505	
51610	61.946	51.862	0.933	
51712	201.825	46.874	0.925	
51738	72.021	58.842	0.739	
51938	150.581	57.846	0.502	
51961	170.066	49.841	0.9	
51976	177.801	49.892	0.85	
52007	242.97	53.856	0.533	
52017	87.004	49.933	0.505	
52412	223.057	50.838	0.062	
52413	101.691	58.842	0.544	
52462	176.662	50.864	0.925	
52507	224.924	49.866	1.0	
52565	88.755	61.009	1.0	
52591	112.988	46.85	0.851	
52891	149.782	51.837	0.238	
52996	122.368	50.864	0.362	
53505	102.822	49.866	0.723	
53529	105.228	51.862	0.855	
53624	206.684	49.867	0.66	
53626	166.861	58.818	0.552	
53909	145.521	53.832	0.736	
53994	187.024	53.829	0.288	
54123	274.965	50.866	0.614	
54164	100.93	49.872	0.85	
54592	62.726	50.865	0.732	
54593	283.703	50.865	0.428	
54605	149.695	64.802	0.612	
54628	151.651	53.829	0.288	
54654	190.65	46.875	0.604	
54931	179.202	48.869	1.0	
54967	111.692	46.874	0.446	
55002	119.745	58.758	0.835	
55022	187.728	54.853	0.45	
55072	190.149	50.889	1.0	
55150	177.951	49.867	0.483	
55167	205.364	46.028	0.434	
55299	97.646	50.7	0.303	
55528	89.516	59.84	0.512	
55950	165.031	47.873	0.867	
56127	256.563	60.862	0.365	
56288	129.055	58.981	0.759	
56344	82.604	58.843	0.799	
56350	136.451	66.822	0.009	
56545	160.294	54.854	1.0	
57027	263.679	50.864	0.938	
57149	151.208	49.867	0.461	
57150	53.224	55.877	0.465	
57232	224.561	65.8	0.11	
57238	74.03	54.853	0.805	
57244	229.116	51.861	0.4	
57597	193.115	51.862	0.27	
57672	143.812	58.842	0.533	
57725	228.032	57.845	0.9	
57760	83.689	48.869	0.346	
58029	122.511	59.218	0.851	
58111	123.063	64.852	0.267	
58350	102.744	58.843	0.721	
58384	167.807	58.976	0.92	
58393	68.852	73.354	0.337	
58539	139.028	51.834	0.556	
58636	204.313	62.86	-1.0	
58655	185.732	47.872	0.9	
58705	250.582	74.1	0.956	
59044	86.145	50.889	0.415	
59386	155.772	48.87	0.376	
59598	95.319	58.843	0.618	
59635	169.67	55.852	0.499	
59920	81.018	47.871	0.901	
60052	114.917	52.859	0.505	
60090	210.724	50.864	0.236	
60102	141.469	47.873	1.0	
60347	365.385	52.884	0.95	
60363	134.344	59.028	0.071	
60449	108.512	53.856	0.597	
60507	114.698	50.865	0.489	
60770	171.884	58.845	1.0	
60823	263.601	59.02	0.216	
60835	258.083	59.815	0.597	
60855	122.578	74.828	0.952	
60886	100.406	50.864	0.695	
60899	136.013	46.874	0.32	
60932	144.727	50.891	0.464	
61108	140.132	58.817	0.259	
61171	182.486	56.869	0.933	
61268	150.908	51.837	0.452	
61333	110.366	59.84	0.149	
61418	143.265	57.872	0.621	
61471	87.501	57.819	0.635	
61584	179.27	58.844	0.463	
61658	206.558	56.85	0.21	
61747	210.129	64.799	0.95	
61960	149.072	45.877	0.306	
62025	74.153	54.853	0.7	
62353	373.936	59.841	0.479	
62355	221.844	50.865	0.742	
62554	137.164	49.832	0.435	
62692	162.098	48.87	0.434	
62808	223.849	74.8	0.53	
63047	215.737	64.827	0.437	
63154	171.198	50.864	0.413	
63552	135.054	61.834	0.454	
63602	78.734	50.864	0.268	
63740	107.037	59.84	0.636	
63965	122.496	50.864	1.0	
64084	158.877	50.864	0.409	
64359	119.378	50.864	0.95	
64462	107.053	74.992	0.752	
64495	245.637	57.846	1.0	
64499	198.132	58.844	0.752	
64523	137.806	50.845	0.706	
